Order ID,Order Date,Shop,Pick Up Emirate,Drop Off Emirate,Drop Off Area,Delivery Company,Status,COD,Delivery Cost,Charge to Customer,Category,Delivery Route,Month - Formula,Month
3086,3/9/2020,Shop019,Dubai,Abu Dhabi,Al Samha,DeliveryCompany01,Delivered,AED 150.00,AED 32.00,AED 50.00,,Dubai to Abu Dhabi,September,September 
3093,3/9/2020,Shop022,Abu Dhabi,Ajman,Al jurf,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Ajman,September,September 
3064,3/9/2020,Shop006,Dubai,Dubai,DIFC,DeliveryCompany02,Delivered,,AED 30.00,AED 30.00,,Dubai to Dubai,September,September 
3095,3/9/2020,Shop015,Dubai,Ras Al Khaimah,Al Ghoub,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Ras Al Khaimah,September,September 
3066,3/9/2020,Shop006,Dubai,Dubai,City walk,DeliveryCompany02,Delivered,,AED 30.00,AED 30.00,,Dubai to Dubai,September,September 
3072,3/9/2020,Shop016,Dubai,Dubai,Jumerah 3,DeliveryCompany04,Delivered,,AED 35.00,AED 30.00,,Dubai to Dubai,September,September 
3068,3/9/2020,Shop018,Abu Dhabi,Dubai,Al naseem Hote,DeliveryCompany01,Delivered,AED 215.00,AED 32.00,AED 50.00,,Abu Dhabi to Dubai,September,September 
3097,3/9/2020,Shop015,Dubai,Ras Al Khaimah,The Ritz-Carlton ,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Ras Al Khaimah,September,September 
3087,3/9/2020,Shop005,Sharjah,Abu Dhabi,AlShalilah,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Sharjah to Abu Dhabi,September,September 
3062,3/9/2020,Shop030,Abu Dhabi,Fujeirah,Al Faseel,DeliveryCompany01,Delivered,AED 285.00,AED 32.00,AED 60.00,,Abu Dhabi to Fujeirah,September,September 
3063,3/9/2020,Shop031,Abu Dhabi,Al Ain,Sarooj,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Al Ain,September,September 
3081,3/9/2020,Shop032,Abu Dhabi,Ras Al Khaimah,Al Buhairat,DeliveryCompany01,Delivered,,AED 32.00,AED 60.00,,Abu Dhabi to Ras Al Khaimah,September,September 
3085,3/9/2020,Shop019,Dubai,Sharjah,AlGarayen,DeliveryCompany01,Delivered,AED 145.00,AED 32.00,AED 45.00,,Dubai to Sharjah,September,September 
3096,3/9/2020,Shop015,Dubai,Umm Al Quwain,Al Salamah,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Umm Al Quwain,September,September 
3070,3/9/2020,Shop018,Abu Dhabi,Ras Al Khaimah,Al Buhairah,DeliveryCompany01,Delivered,,AED 32.00,AED 60.00,,Abu Dhabi to Ras Al Khaimah,September,September 
